id,created_at,locale,duration_seconds,top_result,score_C,score_D,score_I,score_S,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
129,2026-05-14T20:25:11.611979+00:00,en,50,S,56,33,33,78,1,1,1,1,0,2,2,2,3,2,2,1
130,2026-05-15T06:17:56.158821+00:00,en,28,I,78,67,78,78,3,2,1,3,1,3,1,3,3,3,2,2
131,2026-05-15T06:59:56.290382+00:00,en,74,D,56,56,56,44,2,1,2,1,2,2,2,1,1,2,1,2
132,2026-05-15T11:33:01.413553+00:00,en,44,C,78,33,22,44,2,0,1,1,0,1,2,1,1,2,3,2
133,2026-05-15T14:28:37.591+00:00,,,D,56,100,100,22,3,3,3,3,3,3,0,1,1,2,1,2
134,2026-05-15T15:35:07.474+00:00,,,D,100,100,100,100,3,3,3,3,3,3,3,3,3,3,3,3
135,2026-05-15T15:56:06.251+00:00,,,D,56,67,56,56,2,2,2,1,2,2,1,1,3,2,1,2
136,2026-05-15T16:54:23.106536+00:00,en,49,I,44,22,67,44,0,1,1,2,2,2,2,2,0,2,1,1
137,2026-05-15T17:06:40.58+00:00,,,S,56,56,33,67,2,1,2,1,0,2,2,3,1,3,1,1
138,2026-05-15T17:39:50.183703+00:00,,63,D,89,89,67,56,3,2,3,2,1,3,1,3,1,3,3,2
139,2026-05-15T17:53:49.171456+00:00,,58,C,89,67,67,56,3,0,3,2,2,2,3,1,1,2,3,3
140,2026-05-15T18:50:56.021805+00:00,,69,S,33,33,56,89,1,0,2,2,1,2,3,2,3,2,1,0
141,2026-05-15T19:12:59.304523+00:00,,44,C,100,56,11,67,2,1,2,0,0,1,3,2,1,3,3,3
142,2026-05-15T19:26:46.795323+00:00,,70,S,56,56,44,78,2,1,2,1,1,2,2,2,3,2,1,2
143,2026-05-15T20:15:56.551947+00:00,,90,C,100,56,67,44,2,1,2,1,2,3,2,1,1,3,3,3
144,2026-05-15T21:20:30.874729+00:00,,49,D,11,100,67,33,3,3,3,2,2,2,1,1,1,0,0,1
145,2026-05-15T22:32:21.469901+00:00,,39,S,89,22,22,89,1,1,0,1,0,1,2,3,3,3,2,3
146,2026-05-16T00:15:14.850794+00:00,en,55,S,78,56,67,89,2,1,2,2,2,2,2,3,3,2,2,3
147,2026-05-16T00:30:42.575038+00:00,,42,S,44,22,67,89,1,0,1,2,2,2,3,3,2,0,2,2
148,2026-05-16T03:04:34.943794+00:00,en,38,C,78,67,33,44,2,1,3,1,1,1,2,1,1,3,2,2
149,2026-05-16T05:14:13.644971+00:00,en,40,S,56,67,78,89,2,2,2,2,2,3,2,3,3,2,1,2
150,2026-05-16T08:48:28.103993+00:00,,78,I,33,56,89,44,2,2,1,2,3,3,1,1,2,2,0,1
151,2026-05-16T09:15:09.686775+00:00,,176,I,67,78,89,89,3,1,3,2,3,3,3,2,3,3,1,2
152,2026-05-16T10:10:41.010117+00:00,,44,S,78,56,67,89,1,2,2,2,2,2,2,3,3,2,2,3
153,2026-05-16T10:12:36.493+00:00,,,C,89,44,56,67,1,1,2,3,2,0,0,3,3,3,2,3
154,2026-05-16T10:12:55.37284+00:00,,60,C,100,89,56,89,2,3,3,1,2,2,3,2,3,3,3,3
155,2026-05-16T10:13:06.945038+00:00,,81,C,100,67,44,56,3,2,1,3,1,0,0,3,2,3,3,3
156,2026-05-16T10:13:08.830699+00:00,,74,I,67,67,89,89,1,2,3,3,2,3,2,3,3,3,1,2
157,2026-05-16T10:13:23.00878+00:00,,67,C,89,67,56,67,3,1,2,1,1,3,1,3,2,3,2,3
158,2026-05-16T10:14:58.506078+00:00,,110,I,33,44,100,44,1,1,2,3,3,3,0,1,3,1,1,1
159,2026-05-16T10:15:18.55144+00:00,,176,C,100,78,78,89,3,2,2,2,2,3,2,3,3,3,3,3
160,2026-05-16T10:15:27.20527+00:00,,180,S,100,33,33,100,1,1,1,0,1,2,3,3,3,3,3,3
161,2026-05-16T10:15:41.387462+00:00,,107,D,89,89,67,56,3,3,2,2,2,2,1,3,1,3,2,3
162,2026-05-16T10:15:43.49318+00:00,,72,S,67,78,44,100,3,1,3,1,1,2,3,3,3,3,2,1
163,2026-05-16T10:16:01.452697+00:00,,97,C,100,89,67,44,3,3,2,2,3,1,0,2,2,3,3,3
164,2026-05-16T10:17:33.732366+00:00,,102,C,100,56,67,78,2,2,1,2,1,3,2,3,2,3,3,3
165,2026-05-16T10:18:17.77119+00:00,,65,C,100,56,67,67,3,0,2,3,0,3,0,3,3,3,3,3
166,2026-05-16T10:21:44.004+00:00,,,I,56,22,67,67,1,0,1,3,2,1,2,3,1,1,2,2
167,2026-05-16T10:55:22.444815+00:00,,320,S,67,22,44,100,1,1,0,1,0,3,3,3,3,3,3,0
168,2026-05-16T14:46:07.902567+00:00,,61,D,33,56,44,44,2,1,2,1,1,2,1,1,2,1,1,1
169,2026-05-16T15:34:36.888249+00:00,,89,I,44,67,78,56,3,1,2,2,2,3,1,1,3,2,1,1
170,2026-05-16T15:51:06.84465+00:00,,51,S,78,67,67,89,2,1,3,2,2,2,3,3,2,2,3,2
171,2026-05-16T17:36:56.723619+00:00,,43,I,44,56,100,67,2,2,1,3,3,3,3,0,3,0,2,2
172,2026-05-16T18:29:30.674906+00:00,,77,C,89,56,67,67,2,1,2,2,2,2,2,2,2,3,2,3
173,2026-05-16T18:58:56.438268+00:00,,93,S,67,22,22,67,1,0,1,1,0,1,2,2,2,2,1,3
174,2026-05-16T20:08:05.09333+00:00,,164,S,67,56,56,67,2,1,2,2,1,2,2,2,2,2,2,2
175,2026-05-16T21:14:20.095833+00:00,,531,C,100,67,78,22,3,1,2,3,1,3,0,2,0,3,3,3
176,2026-05-16T22:50:36.201304+00:00,,76,S,67,33,33,78,2,1,0,1,0,2,3,3,1,2,2,2
177,2026-05-16T23:08:11.033934+00:00,,93,C,100,56,56,78,2,1,2,2,1,2,1,3,3,3,3,3
178,2026-05-16T23:21:01.048476+00:00,,8,D,100,100,100,100,3,3,3,3,3,3,3,3,3,3,3,3
179,2026-05-16T23:54:07.829222+00:00,,55,D,89,89,33,56,2,3,3,2,1,0,0,2,3,3,2,3
180,2026-05-16T23:54:16.529935+00:00,,75,S,78,56,44,100,2,1,2,2,0,2,3,3,3,2,3,2
181,2026-05-16T23:54:25.328376+00:00,,34,D,56,89,89,44,2,3,3,3,3,2,2,1,1,3,2,0
182,2026-05-16T23:54:57.689694+00:00,,106,D,67,67,67,33,2,2,2,2,2,2,0,2,1,2,2,2
183,2026-05-16T23:55:06.827248+00:00,,119,S,89,33,67,100,2,0,1,2,1,3,3,3,3,3,2,3
184,2026-05-16T23:55:23.3501+00:00,,91,I,22,67,78,56,3,2,1,2,2,3,1,3,1,0,1,1
185,2026-05-16T23:55:40.559798+00:00,,126,S,78,56,44,89,2,1,2,2,1,1,3,2,3,2,2,3
186,2026-05-17T00:02:48.762857+00:00,,44,C,89,56,33,56,2,1,2,2,0,1,2,2,1,3,2,3
187,2026-05-17T00:12:30.636683+00:00,,47,I,78,44,78,67,2,1,1,3,2,2,1,3,2,3,2,2
188,2026-05-17T00:21:09.876126+00:00,,83,D,56,78,44,44,2,2,3,0,2,2,2,1,1,2,1,2
189,2026-05-17T00:21:35.583219+00:00,,102,D,33,56,44,44,2,1,2,2,1,1,1,1,2,1,1,1
190,2026-05-17T00:39:27.706826+00:00,,166,S,44,33,33,44,1,1,1,1,1,1,3,1,0,1,2,1
191,2026-05-17T01:18:36.141722+00:00,,54,C,89,56,78,56,3,0,2,2,2,3,1,2,2,3,3,2
192,2026-05-17T01:21:56.969386+00:00,,130,C,89,78,67,56,3,2,2,2,2,2,1,3,1,3,2,3
193,2026-05-17T01:23:00.36547+00:00,,62,I,56,56,89,67,1,3,1,2,3,3,2,3,1,1,2,2
194,2026-05-17T01:23:17.183834+00:00,,38,I,67,56,89,67,2,1,2,3,2,3,2,2,2,1,2,3
195,2026-05-17T01:23:41.757065+00:00,,65,I,78,67,89,78,3,1,2,3,2,3,2,2,3,3,2,2
196,2026-05-17T01:26:53.506997+00:00,,46,S,89,67,22,89,2,1,3,0,0,2,2,3,3,3,3,2
197,2026-05-17T01:26:57.929469+00:00,,44,C,89,78,67,78,2,2,3,2,2,2,3,3,1,3,3,2
198,2026-05-17T01:34:06.270345+00:00,,31,I,67,33,67,67,2,0,1,3,1,2,1,3,2,2,1,3
199,2026-05-17T01:38:07.887946+00:00,,48,S,67,44,44,67,2,1,1,1,1,2,2,2,2,2,2,2
200,2026-05-17T01:45:56.815324+00:00,en,50,S,89,67,67,89,2,1,3,2,3,1,2,3,3,3,2,3
201,2026-05-17T02:03:03.957825+00:00,,43,S,78,33,22,78,2,0,1,1,0,1,1,3,3,3,2,2
202,2026-05-17T03:33:39.361801+00:00,,89,S,67,67,67,89,2,3,1,3,0,3,2,3,3,2,2,2
203,2026-05-17T03:38:22.715628+00:00,,85,D,67,100,56,56,3,3,3,2,2,1,1,2,2,3,1,2
204,2026-05-17T04:45:08.729837+00:00,,62,I,56,67,78,78,3,1,2,3,2,2,2,3,2,2,1,2
205,2026-05-17T05:15:40.25347+00:00,,89,S,44,33,11,56,2,0,1,0,0,1,1,2,2,1,1,2
206,2026-05-17T06:37:49.804831+00:00,,48,I,67,56,89,89,1,1,3,2,3,3,2,3,3,2,1,3
207,2026-05-17T06:58:31.635+00:00,,,C,89,22,44,67,1,0,1,0,2,2,3,2,1,3,3,2
208,2026-05-17T06:59:42.399922+00:00,,123,C,89,22,44,67,1,0,1,0,2,2,3,2,1,3,3,2
209,2026-05-17T08:31:24.37+00:00,,,D,100,100,44,100,3,3,3,2,1,1,3,3,3,3,3,3
210,2026-05-17T12:29:04.909+00:00,,,S,89,56,78,89,2,1,2,3,1,3,2,3,3,3,2,3
211,2026-05-17T12:36:56.730891+00:00,en,61,S,67,33,0,67,1,1,1,0,0,0,3,2,1,2,2,2
212,2026-05-17T13:38:55.857952+00:00,,206,I,78,78,89,56,3,2,2,3,2,3,1,3,1,3,1,3
213,2026-05-17T17:05:23.741958+00:00,,51,S,67,33,22,67,1,1,1,1,0,1,2,3,1,2,1,3
214,2026-05-17T17:25:00.864325+00:00,,54,D,67,100,44,44,3,3,3,1,1,2,1,2,1,3,1,2
215,2026-05-17T18:03:48.343551+00:00,,101,C,78,44,67,56,1,1,2,2,2,2,2,2,1,3,2,2
216,2026-05-17T18:13:00.124394+00:00,en,40,S,78,78,78,89,3,2,2,2,2,3,3,2,3,3,3,1
217,2026-05-17T18:23:13.345691+00:00,en,117,I,44,56,78,33,3,0,2,3,2,2,1,2,0,1,0,3
218,2026-05-17T20:38:35.70331+00:00,,54,D,78,100,44,11,3,3,3,2,0,2,0,0,1,3,2,2
219,2026-05-17T20:50:30.512072+00:00,,93,D,67,67,22,44,2,1,3,0,1,1,0,3,1,3,0,3
220,2026-05-17T20:52:07.442659+00:00,,66,C,89,44,56,44,2,0,2,1,1,3,2,2,0,2,3,3
221,2026-05-17T22:59:20.495161+00:00,,55,S,67,44,33,67,2,1,1,1,0,2,2,2,2,2,2,2
222,2026-05-17T23:37:45.363807+00:00,,32,C,89,44,44,56,3,0,1,2,0,2,2,3,0,3,2,3
223,2026-05-17T23:44:17.483+00:00,,,S,89,67,0,100,2,1,3,0,0,0,3,3,3,3,2,3
