id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
96,2026-05-22T19:10:50.248021+00:00,,266,empathy,78,67,67,50,2,2,2,2,2,2,2,3,2,1
97,2026-05-23T02:37:45.875982+00:00,,66,empathy,100,89,67,83,2,3,3,2,2,3,3,3,2,3
98,2026-05-24T20:12:33.169+00:00,,,self_regulation,100,89,100,100,3,2,3,3,3,3,3,3,3,3
99,2026-05-25T08:57:29.217358+00:00,,4,empathy,78,33,33,50,1,1,1,1,1,2,3,2,1,2
100,2026-05-26T00:29:06.916943+00:00,en,68,self_awareness,78,89,83,83,3,2,3,2,3,3,2,2,3,2
101,2026-05-26T06:53:34.642623+00:00,en,59,self_regulation,44,78,83,83,2,2,3,2,3,1,2,1,3,2
102,2026-05-26T07:36:23.994981+00:00,en,144,self_awareness,56,67,33,67,2,2,2,1,1,3,1,1,2,2
103,2026-05-26T08:36:30.412499+00:00,en,86,empathy,89,67,50,83,2,1,3,1,2,3,2,3,2,3
104,2026-05-26T11:40:20.472307+00:00,en,51,social_skills,67,67,50,83,2,3,1,1,2,2,2,2,3,2
105,2026-05-26T14:10:08.320881+00:00,en,65,self_regulation,56,56,67,67,2,2,1,3,1,2,2,1,3,1
106,2026-05-27T06:44:21.523104+00:00,en,93,self_regulation,56,78,83,67,3,2,2,2,3,1,1,3,3,1
107,2026-05-27T07:26:33.534284+00:00,en,107,self_regulation,67,78,83,33,3,2,2,3,2,2,2,2,0,2
108,2026-05-27T13:38:53.079604+00:00,en,121,self_awareness,44,78,17,33,3,3,1,1,0,1,1,2,1,1
109,2026-05-27T14:00:01.310151+00:00,en,62,self_awareness,89,89,67,50,2,3,3,2,2,2,3,3,2,1
110,2026-05-27T15:31:04.960081+00:00,en,63,empathy,78,56,50,67,2,2,1,2,1,2,3,2,2,2
111,2026-05-27T16:26:47.033888+00:00,en,66,self_regulation,67,89,100,50,3,2,3,3,3,2,2,2,1,2
112,2026-05-28T00:28:59.428219+00:00,en,70,self_awareness,56,78,50,33,2,3,2,1,2,2,1,2,1,1
113,2026-05-28T00:47:17.195245+00:00,en,204,self_awareness,44,67,50,50,2,2,2,1,2,2,1,1,2,1
114,2026-05-28T01:52:23.5058+00:00,en,47,social_skills,89,78,83,100,2,3,2,2,3,3,3,2,3,3
115,2026-05-28T03:47:54.194966+00:00,en,130,self_regulation,78,67,83,83,3,1,2,3,2,2,2,3,2,3
116,2026-05-28T07:49:35.777549+00:00,en,135,empathy,78,56,67,67,2,0,3,1,3,2,2,3,2,2
117,2026-05-28T12:33:37.997875+00:00,en,73,self_awareness,100,100,33,83,3,3,3,1,1,3,3,3,3,2
118,2026-05-28T13:20:56.350821+00:00,en,70,self_awareness,56,67,67,50,3,2,1,2,2,3,1,1,2,1
